"date","quarry","docket","jobNo","delivery","rego","product","weight","startTime","endTime","startKm","endKm"
"12-Mar","KB","4204174","9522","E","ASD639","RUN OF PIT BROWN","27.38","08:45:00 AM","12:00:00 PM","no data","no data"
"12-Mar","KB","4204319","9522","E","ASD639","RUN OF PIT BROWN","27.98","12:45:00 PM","MANUAL ENTRY","no data","no data"
"12-Mar","KB","4204129","9490","E","BBS997","GAP 20","28.20","07:15:00 AM","09:00:00 AM","no data","no data"
"12-Mar","KB","4204191","9490","E","BBS997","GAP 20","27.34","09:00:00 AM","10:45:00 AM","no data","no data"
"12-Mar","KB","4204261","9490","E","BBS997","GAP 20","27.80","10:45:00 AM","12:15:00 PM","no data","no data"
"12-Mar","KB","4204332","9490","E","BBS997","GAP 20","28.34","12:45:00 PM","02:15:00 PM","no data","no data"
"12-Mar","KB","4204420","9490","E","BBS997","GAP 20","28.20","02:15:00 PM","MANUAL ENTRY","no data","no data"
"12-Mar","KB","4204106","9522","E","CHK468","GAP 65","27.88","07:00:00 AM","09:30:00 AM","no data","no data"
"12-Mar","KB","4204210","9522","E","CHK468","GAP 65","29.02","09:30:00 AM","11:45:00 AM","no data","no data"
"12-Mar","KB","4204310","9522","E","CHK468","GAP 65","27.76","11:45:00 AM","02:00:00 PM","no data","no data"
"12-Mar","KB","4204406","9490","E","CHK468","DRAINAGE 20/7","28.36","02:00:00 PM","MANUAL ENTRY","no data","no data"
"12-Mar","KB","4204153","9523","E","DKY293","GAP 65","28.64","08:30:00 AM","10:00:00 AM","no data","no data"
"12-Mar","KB","4204228","9523","E","DKY293","MANARC 65","28.52","10:00:00 AM","11:45:00 AM","no data","no data"
"12-Mar","KB","4204304","9523","E","DKY293","MANARC 65","28.10","11:30:00 AM","01:30:00 PM","no data","no data"
"12-Mar","KB","4204389","9498","E","DKY293","MANARC 65","28.20","01:30:00 PM","MANUAL ENTRY","no data","no data"
"12-Mar","KB","4204105","9523","E","HSR40","GAP 65","28.28","07:00:00 AM","09:30:00 AM","no data","no data"
"12-Mar","KB","4204216","9523","E","HSR40","GAP 65","28.32","09:30:00 AM","11:45:00 AM","no data","no data"
"12-Mar","KB","4204315","9523","E","HSR40","GAP 65","27.84","12:00:00 PM","02:15:00 PM","no data","no data"
"12-Mar","KB","4204410","9490","E","HSR40","GAP 7","28.50","02:00:00 PM","MANUAL ENTRY","no data","no data"
"12-Mar","KB","4204130","9518","E","JQQ589","GAP 65","29.44","07:15:00 AM","10:00:00 AM","no data","no data"
"12-Mar","KB","4204233","9518","E","JQQ589","GAP 65","28.30","10:00:00 AM","01:00:00 PM","no data","no data"
"12-Mar","KB","4204366","9522","E","JQQ589","GAP 65","28.18","01:00:00 PM","MANUAL ENTRY","no data","no data"
"12-Mar","KB","4204107","9498","E","JQQ590","TNZ 40","28.16","07:00:00 AM","09:30:00 AM","no data","no data"
"12-Mar","KB","4204214","9498","E","JQQ590","MANARC 65","27.48","09:45:00 AM","11:45:00 AM","no data","no data"
"12-Mar","KB","4204314","9498","E","JQQ590","MANARC 65","28.00","11:45:00 AM","02:00:00 PM","no data","no data"
"12-Mar","KB","4204401","9490","E","JQQ590","GAP 7","28.92","01:45:00 PM","MANUAL ENTRY","no data","no data"
"12-Mar","KB","4204128","9523","E","KQQ748","MANARC 65","27.96","07:15:00 AM","09:45:00 AM","no data","no data"
"12-Mar","KB","4204222","9523","E","KQQ748","MANARC 65","28.26","09:45:00 AM","12:00:00 PM","no data","no data"
"12-Mar","KB","4204323","9523","E","KQQ748","MANARC 65","28.26","12:00:00 PM","02:30:00 PM","no data","no data"
"12-Mar","KB","4204428","9490","E","KQQ748","GAP 7","28.22","02:30:00 PM","MANUAL ENTRY","no data","no data"
"12-Mar","KB","4204122","9467","E","LCK375","DRAINAGE 20/7","28.38","07:00:00 AM","10:30:00 AM","no data","no data"
"12-Mar","KB","4204254","9467","E","LCK375","GAP 7","28.40","10:30:00 AM","01:45:00 PM","no data","no data"
